상권_코드,행정동_코드,자치구_코드,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,주중_매출_금액,주말_매출_금액,상권_변화_지표,총_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,읍면동명,계,경쟁업체수,지하철_총승객수,임대료
3110035,11110710,11110,CS300001,슈퍼마켓,142137715.0,103345180.0,38792535.0,HL,263.0,43.0,52.0,61.0,숭인제2동,10237.0,2.0,43409.12321359598,73.52000000000001
3110035,11110710,11110,CS300004,핸드폰,565243758.0,343282542.0,221961216.0,HL,263.0,43.0,52.0,61.0,숭인제2동,10237.0,10.139166621628926,43409.12321359598,73.52000000000001
3110035,11110710,11110,CS300017,시계및귀금속,18011170.0,558486.0,17452684.0,HL,263.0,43.0,52.0,61.0,숭인제2동,10237.0,10.139166621628926,43409.12321359598,73.52000000000001
3110035,11110710,11110,CS300028,화초,5976957.0,5376861.0,600096.0,HL,263.0,43.0,52.0,61.0,숭인제2동,10237.0,10.139166621628926,43409.12321359598,73.52000000000001
3110012,11110530,11110,CS100001,한식음식점,890373787.0,744056553.0,146317234.0,HH,2957.0,391.0,838.0,892.0,사직동,8874.0,38.0,43409.12321359598,73.52000000000001
3110012,11110530,11110,CS100003,일식음식점,164742909.0,123002641.0,41740268.0,HH,2957.0,391.0,838.0,892.0,사직동,8874.0,3.0,43409.12321359598,73.52000000000001
3110012,11110530,11110,CS100004,양식음식점,1990722333.0,1708214074.0,282508259.0,HH,2957.0,391.0,838.0,892.0,사직동,8874.0,7.0,43409.12321359598,73.52000000000001
3110012,11110530,11110,CS100010,커피-음료,453493291.0,338378387.0,115114904.0,HH,2957.0,391.0,838.0,892.0,사직동,8874.0,14.0,43409.12321359598,73.52000000000001
3110012,11110530,11110,CS200001,일반교습학원,17928839.0,12342702.0,5586137.0,HH,2957.0,391.0,838.0,892.0,사직동,8874.0,9.0,43409.12321359598,73.52000000000001
3110012,11110530,11110,CS200005,스포츠 강습,25144544.0,23423030.0,1721514.0,HH,2957.0,391.0,838.0,892.0,사직동,8874.0,2.0,43409.12321359598,73.52000000000001
3110012,11110530,11110,CS200006,일반의원,54890969.0,47366785.0,7524184.0,HH,2957.0,391.0,838.0,892.0,사직동,8874.0,1.0,43409.12321359598,73.52000000000001
3110012,11110530,11110,CS300002,편의점,210094195.0,167709037.0,42385158.0,HH,2957.0,391.0,838.0,892.0,사직동,8874.0,3.0,43409.12321359598,73.52000000000001
3110013,11110530,11110,CS100010,커피-음료,35845450.0,22837456.0,13007994.0,LH,64.0,11.0,18.0,18.0,사직동,8874.0,14.0,43409.12321359598,73.52000000000001
3110014,11110515,11110,CS100001,한식음식점,391748585.0,267555409.0,124193176.0,LH,721.0,131.0,208.0,200.0,청운효자동,10719.0,2.0,43409.12321359598,73.52000000000001
3110014,11110515,11110,CS100010,커피-음료,15357142.0,9786619.0,5570523.0,LH,721.0,131.0,208.0,200.0,청운효자동,10719.0,10.139166621628926,43409.12321359598,73.52000000000001
3110015,11110515,11110,CS100004,양식음식점,585248254.0,413213269.0,172034985.0,HL,1126.0,207.0,326.0,311.0,청운효자동,10719.0,2.0,43409.12321359598,73.52000000000001
3110015,11110515,11110,CS100010,커피-음료,248453759.0,173502469.0,74951290.0,HL,1126.0,207.0,326.0,311.0,청운효자동,10719.0,11.0,43409.12321359598,73.52000000000001
3110016,11110560,11110,CS100001,한식음식점,109763937.0,60506929.0,49257008.0,LH,3335.0,412.0,894.0,1090.0,평창동,16959.0,10.0,43409.12321359598,73.52000000000001
3110016,11110560,11110,CS100010,커피-음료,54809581.0,31397077.0,23412504.0,LH,3335.0,412.0,894.0,1090.0,평창동,16959.0,10.0,43409.12321359598,73.52000000000001
3110016,11110560,11110,CS200005,스포츠 강습,338260159.0,185194196.0,153065963.0,LH,3335.0,412.0,894.0,1090.0,평창동,16959.0,5.0,43409.12321359598,73.52000000000001
3110016,11110560,11110,CS300002,편의점,55361562.0,40071780.0,15289782.0,LH,3335.0,412.0,894.0,1090.0,평창동,16959.0,1.0,43409.12321359598,73.52000000000001
3110005,11110550,11110,CS100001,한식음식점,273489861.0,171222598.0,102267263.0,HH,722.0,122.0,208.0,193.0,부암동,8872.0,14.0,43409.12321359598,73.52000000000001
3110005,11110550,11110,CS100008,분식전문점,71867973.0,58969323.0,12898650.0,HH,722.0,122.0,208.0,193.0,부암동,8872.0,6.0,43409.12321359598,73.52000000000001
3110005,11110550,11110,CS200001,일반교습학원,411000000.0,341032505.0,69967495.0,HH,722.0,122.0,208.0,193.0,부암동,8872.0,23.0,43409.12321359598,73.52000000000001
3110005,11110550,11110,CS200028,미용실,25956500.0,20123579.0,5832921.0,HH,722.0,122.0,208.0,193.0,부암동,8872.0,11.0,43409.12321359598,73.52000000000001
3110005,11110550,11110,CS300011,일반의류,15764440.0,6342016.0,9422424.0,HH,722.0,122.0,208.0,193.0,부암동,8872.0,8.0,43409.12321359598,73.52000000000001
3110006,11110550,11110,CS100010,커피-음료,57232651.0,29380711.0,27851940.0,LH,64.0,12.0,18.0,17.0,부암동,8872.0,4.0,43409.12321359598,73.52000000000001
3110007,11110530,11110,CS100001,한식음식점,37670299.0,33116467.0,4553832.0,LH,441.0,54.0,126.0,134.0,사직동,8874.0,1.0,43409.12321359598,73.52000000000001
3110037,11110710,11110,CS100001,한식음식점,213290944.0,166319084.0,46971860.0,HL,625.0,61.0,179.0,133.0,숭인제2동,10237.0,23.0,43409.12321359598,73.52000000000001
3110037,11110710,11110,CS100007,치킨전문점,6941991.0,5332737.0,1609254.0,HL,625.0,61.0,179.0,133.0,숭인제2동,10237.0,3.0,43409.12321359598,73.52000000000001
3110037,11110710,11110,CS100008,분식전문점,20229663.0,16204406.0,4025257.0,HL,625.0,61.0,179.0,133.0,숭인제2동,10237.0,7.0,43409.12321359598,73.52000000000001
